,ticker,weight,weight_scaled,date
0,A,0.0,0.0,2010-02-01
1,AAPL,0.0,0.0,2010-02-01
2,ABC,0.0,0.0,2010-02-01
3,ABT,0.0,0.0,2010-02-01
4,ACS,0.0,0.0,2010-02-01
5,ADBE,0.0,0.0,2010-02-01
6,ADM,0.0,0.0,2010-02-01
7,ADP,0.0,0.0,2010-02-01
8,AEE,0.0,0.0,2010-02-01
9,AEP,0.0,0.0,2010-02-01
10,AES,0.0,0.0,2010-02-01
11,AET,0.0,0.0,2010-02-01
12,AFL,0.0,0.0,2010-02-01
13,AGN,0.0,0.0,2010-02-01
14,AIG,0.0,0.0,2010-02-01
15,AIV,0.0,0.0,2010-02-01
16,AIZ,0.0,0.0,2010-02-01
17,AKAM,0.0,0.0,2010-02-01
18,AKS,0.0,0.0,2010-02-01
19,ALL,0.0,0.0,2010-02-01
20,ALTR,0.0,0.0,2010-02-01
21,AMAT,0.0,0.0,2010-02-01
22,AMD,0.1466763351686935,0.1466763351686931,2010-02-01
23,AMP,0.0,0.0,2010-02-01
24,AMT,0.0,0.0,2010-02-01
25,AN,0.0,0.0,2010-02-01
26,ANF,0.0,0.0,2010-02-01
27,AON,0.0,0.0,2010-02-01
28,APA,0.0,0.0,2010-02-01
29,APC,0.0,0.0,2010-02-01
30,APD,0.0,0.0,2010-02-01
31,APH,0.0,0.0,2010-02-01
32,APOL,0.0,0.0,2010-02-01
33,ARG,0.0,0.0,2010-02-01
34,ATI,0.0,0.0,2010-02-01
35,AVB,0.0,0.0,2010-02-01
36,AVP,0.0,0.0,2010-02-01
37,AVY,0.0,0.0,2010-02-01
38,AXP,0.0,0.0,2010-02-01
39,AYE,0.0,0.0,2010-02-01
40,AZO,0.0,0.0,2010-02-01
41,BA,0.0,0.0,2010-02-01
42,BAC,0.0,0.0,2010-02-01
43,BAX,0.0,0.0,2010-02-01
44,BBBY,0.0,0.0,2010-02-01
45,BBY,0.0,0.0,2010-02-01
46,BCR,0.0,0.0,2010-02-01
47,BDX,0.0,0.0,2010-02-01
48,BEN,0.0,0.0,2010-02-01
49,BHI,0.0,0.0,2010-02-01
50,BIG,0.0,0.0,2010-02-01
51,BIIB,0.0,0.0,2010-02-01
52,BJS,0.0,0.0,2010-02-01
53,BK,0.0,0.0,2010-02-01
54,BLL,0.0,0.0,2010-02-01
55,BMC,0.0,0.0,2010-02-01
56,BMS,0.0,0.0,2010-02-01
57,BMY,0.0,0.0,2010-02-01
58,BNI,0.0,0.0,2010-02-01
59,BRCM,0.0,0.0,2010-02-01
60,BSX,0.0,0.0,2010-02-01
61,BXP,0.0,0.0,2010-02-01
62,CAG,0.0,0.0,2010-02-01
63,CAH,0.0,0.0,2010-02-01
64,CAM,0.0,0.0,2010-02-01
65,CAT,0.0,0.0,2010-02-01
66,CB,0.0,0.0,2010-02-01
67,CBG,0.0,0.0,2010-02-01
68,CBS,0.0,0.0,2010-02-01
69,CCE,0.0,0.0,2010-02-01
70,CCL,0.0,0.0,2010-02-01
71,CELG,0.0,0.0,2010-02-01
72,CEPH,0.0,0.0,2010-02-01
73,CFN,0.0,0.0,2010-02-01
74,CHRW,0.0,0.0,2010-02-01
75,CI,0.0,0.0,2010-02-01
76,CINF,0.0,0.0,2010-02-01
77,CL,0.0,0.0,2010-02-01
78,CLF,0.080074614599947,0.0800746145999468,2010-02-01
79,CLX,0.0,0.0,2010-02-01
80,CMA,0.0,0.0,2010-02-01
81,CME,0.0,0.0,2010-02-01
82,CMI,0.0,0.0,2010-02-01
83,CMS,0.0,0.0,2010-02-01
84,CNP,0.0,0.0,2010-02-01
85,CNX,0.0,0.0,2010-02-01
86,COF,0.0,0.0,2010-02-01
87,COG,0.0,0.0,2010-02-01
88,COL,0.0,0.0,2010-02-01
89,COP,0.0,0.0,2010-02-01
90,COST,0.0,0.0,2010-02-01
91,CPB,0.0,0.0,2010-02-01
92,CPWR,0.0,0.0,2010-02-01
